"Plot Title: bas_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20059998, SEN S/N: 20054028, LBL: t_air)","RH, % (LGR S/N: 20059998, SEN S/N: 20054028, LBL: hr_air)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22155504, LBL: t_1)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194991, LBL: t_2)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194995, LBL: t_3)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22285562, LBL: t_0)"
71,11/09/25 03:15:01  AM,-3.330,80.700,3.564,6.255,6.560,-0.116
72,11/09/25 03:30:01  AM,-3.360,80.900,3.538,6.255,6.560,-0.116
73,11/09/25 03:45:01  AM,-3.419,81.400,3.538,6.230,6.560,-0.116
74,11/09/25 04:00:01  AM,-3.449,81.300,3.538,6.230,6.535,-0.116
75,11/09/25 04:15:01  AM,-3.508,81.200,3.538,6.204,6.535,-0.116
76,11/09/25 04:30:01  AM,-3.538,81.100,3.512,6.204,6.535,-0.143
77,11/09/25 04:45:01  AM,-3.717,80.200,3.512,6.179,6.535,-0.171
78,11/09/25 05:00:01  AM,-3.836,79.700,3.512,6.179,6.509,-0.171
79,11/09/25 05:15:01  AM,-4.046,78.200,3.512,6.153,6.509,-0.199
80,11/09/25 05:30:01  AM,-4.167,77.900,3.485,6.153,6.509,-0.227
81,11/09/25 05:45:01  AM,-4.257,78.400,3.485,6.128,6.509,-0.283
82,11/09/25 06:00:01  AM,-4.287,79.300,3.485,6.128,6.484,-0.255
83,11/09/25 06:15:01  AM,-4.348,80.000,3.459,6.102,6.484,-0.255
84,11/09/25 06:30:01  AM,-4.378,79.800,3.459,6.102,6.484,-0.283
85,11/09/25 06:45:01  AM,-4.408,80.000,3.459,6.102,6.458,-0.283
86,11/09/25 07:00:01  AM,-4.469,80.300,3.459,6.077,6.458,-0.283
87,11/09/25 07:15:01  AM,-4.499,79.800,3.433,6.077,6.458,-0.311
88,11/09/25 07:30:01  AM,-4.348,80.100,3.433,6.077,6.458,-0.255
89,11/09/25 07:45:01  AM,-4.167,79.900,3.433,6.051,6.458,-0.227
90,11/09/25 08:00:01  AM,-4.106,79.500,3.433,6.051,6.433,-0.199
91,11/09/25 08:15:01  AM,-4.016,79.000,3.433,6.026,6.433,-0.171
92,11/09/25 08:30:01  AM,-3.896,78.800,3.406,6.026,6.433,-0.199
93,11/09/25 08:45:01  AM,-3.836,78.700,3.406,6.026,6.408,-0.171
94,11/09/25 09:00:01  AM,-3.479,78.900,3.406,6.000,6.408,-0.116
95,11/09/25 09:15:01  AM,-3.419,77.600,3.406,6.000,6.408,-0.060
96,11/09/25 09:30:01  AM,-3.449,77.800,3.406,5.975,6.408,-0.088
97,11/09/25 09:45:01  AM,-3.479,77.200,3.406,5.975,6.408,-0.116
98,11/09/25 10:00:01  AM,-3.479,77.100,3.380,5.975,6.408,-0.116
99,11/09/25 10:15:01  AM,-3.390,76.700,3.380,5.975,6.408,-0.088
