"Plot Title: 22382990"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 22382990, SEN S/N: 20584702, LBL: tamb)","RH, % (LGR S/N: 22382990, SEN S/N: 20584702, LBL: hramb)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22194992, LBL: tprof2)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22194994, LBL: tprof1)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22285558, LBL: tprof4)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22285561, LBL: tprof3)"
71,11/09/25 08:30:01  AM,-6.073,87.500,4.740,4.973,3.063,4.272
72,11/09/25 08:45:01  AM,-6.010,87.300,4.740,4.973,3.089,4.272
73,11/09/25 09:00:01  AM,-6.073,87.500,4.740,4.973,3.089,4.272
74,11/09/25 09:15:01  AM,-6.105,87.800,4.740,4.973,3.089,4.272
75,11/09/25 09:30:01  AM,-6.262,86.700,4.740,4.973,3.063,4.272
76,11/09/25 09:45:01  AM,-6.420,87.000,4.740,4.973,3.089,4.272
77,11/09/25 10:00:01  AM,-6.706,85.400,4.740,4.973,3.116,4.298
78,11/09/25 10:15:01  AM,-6.866,86.300,4.740,4.973,3.116,4.272
79,11/09/25 10:30:01  AM,-6.962,85.600,4.740,4.973,3.063,4.246
80,11/09/25 10:45:01  AM,-6.962,85.900,4.740,4.973,3.063,4.272
81,11/09/25 11:00:01  AM,-6.930,86.300,4.740,4.973,3.089,4.272
82,11/09/25 11:15:01  AM,-6.898,87.100,4.740,4.973,3.089,4.272
83,11/09/25 11:30:01  AM,-6.930,87.400,4.740,4.973,3.089,4.272
84,11/09/25 11:45:01  AM,-6.962,87.600,4.740,4.973,3.089,4.272
85,11/09/25 12:00:01  PM,-7.058,87.000,4.740,4.973,3.116,4.298
86,11/09/25 12:15:01  PM,-7.155,86.200,4.740,4.973,3.142,4.298
87,11/09/25 12:30:01  PM,-6.962,86.600,4.740,4.947,3.116,4.272
88,11/09/25 12:45:01  PM,-6.962,85.900,4.740,4.973,3.116,4.272
89,11/09/25 01:00:01  PM,-6.930,85.700,4.740,4.947,3.142,4.272
90,11/09/25 01:15:01  PM,-6.642,85.900,4.740,4.947,3.142,4.272
91,11/09/25 01:30:01  PM,-6.579,85.700,4.740,4.947,3.116,4.298
92,11/09/25 01:45:01  PM,-6.357,86.500,4.740,4.947,3.142,4.298
93,11/09/25 02:00:01  PM,-6.357,85.400,4.740,4.947,3.142,4.272
94,11/09/25 02:15:01  PM,-6.294,84.400,4.714,4.947,3.142,4.272
95,11/09/25 02:30:01  PM,-6.357,85.200,4.740,4.947,3.142,4.272
96,11/09/25 02:45:01  PM,-6.105,85.400,4.714,4.947,3.116,4.272
97,11/09/25 03:00:01  PM,-6.105,85.500,4.714,4.947,3.116,4.272
98,11/09/25 03:15:01  PM,-5.698,85.800,4.740,4.947,3.142,4.272
99,11/09/25 03:30:01  PM,-5.636,84.800,4.714,4.947,3.142,4.272
100,11/09/25 03:45:01  PM,-5.760,84.800,4.714,4.947,3.142,4.272
101,11/09/25 04:00:01  PM,-5.480,85.200,4.714,4.921,3.142,4.272
102,11/09/25 04:15:01  PM,-5.295,85.100,4.714,4.921,3.116,4.272
103,11/09/25 04:30:01  PM,-5.605,83.300,4.714,4.921,3.116,4.220
104,11/09/25 04:45:01  PM,-5.172,83.800,4.714,4.921,3.116,4.246
105,11/09/25 05:00:01  PM,-5.636,82.900,4.714,4.921,3.116,4.246
106,11/09/25 05:15:01  PM,-5.202,82.400,4.714,4.921,3.089,4.246
107,11/09/25 05:30:01  PM,-5.141,82.700,4.714,4.921,3.089,4.246
108,11/09/25 05:45:01  PM,-5.542,82.300,4.714,4.921,3.116,4.246
109,11/09/25 06:00:01  PM,-5.667,82.900,4.714,4.921,3.116,4.272
110,11/09/25 06:15:01  PM,-5.760,82.800,4.714,4.921,3.116,4.246
111,11/09/25 06:30:01  PM,-5.916,83.400,4.714,4.921,3.116,4.246
112,11/09/25 06:45:01  PM,-5.791,82.400,4.714,4.921,3.089,4.220
113,11/09/25 07:00:01  PM,-5.480,82.900,4.714,4.921,3.089,4.246
114,11/09/25 07:15:01  PM,-5.791,82.600,4.688,4.921,3.089,4.220
115,11/09/25 07:30:01  PM,-6.010,83.800,4.688,4.921,3.089,4.220
116,11/09/25 07:45:01  PM,-6.515,84.100,4.688,4.921,3.063,4.220
117,11/09/25 08:00:01  PM,-6.866,84.700,4.688,4.895,3.063,4.220
118,11/09/25 08:15:01  PM,-6.834,84.800,4.688,4.921,3.063,4.220
119,11/09/25 08:30:01  PM,-6.994,85.400,4.688,4.921,3.063,4.194
120,11/09/25 08:45:01  PM,-7.251,85.000,4.688,4.921,3.036,4.194
121,11/09/25 09:00:01  PM,-7.543,85.500,4.688,4.921,3.036,4.220
122,11/09/25 09:15:01  PM,-7.804,86.200,4.688,4.921,3.063,4.220
123,11/09/25 09:30:01  PM,-7.968,86.000,4.688,4.921,3.036,4.194
124,11/09/25 09:45:01  PM,-8.099,86.700,4.688,4.921,3.063,4.220
125,11/09/25 10:00:01  PM,-8.397,86.500,4.688,4.921,3.063,4.220
126,11/09/25 10:15:01  PM,-8.663,86.500,4.688,4.921,3.063,4.220
127,11/09/25 10:30:01  PM,-8.764,86.800,4.688,4.921,3.063,4.220
128,11/09/25 10:45:01  PM,-8.831,87.100,4.688,4.921,3.036,4.220
129,11/09/25 11:00:01  PM,-8.898,87.300,4.688,4.921,3.063,4.220
130,11/09/25 11:15:01  PM,-9.066,87.100,4.688,4.895,3.036,4.220
131,11/09/25 11:30:01  PM,-9.168,87.300,4.688,4.895,3.036,4.220
132,11/09/25 11:45:01  PM,-9.033,87.500,4.688,4.895,3.063,4.220
133,11/10/25 12:00:01  AM,-9.168,87.400,4.688,4.895,3.063,4.220
134,11/10/25 12:15:01  AM,-9.202,87.600,4.688,4.895,3.036,4.220
135,11/10/25 12:30:01  AM,-9.542,87.600,4.688,4.895,3.036,4.220
136,11/10/25 12:45:01  AM,-9.508,87.600,4.688,4.895,3.036,4.220
137,11/10/25 01:00:01  AM,-9.337,88.000,4.688,4.895,3.063,4.220
138,11/10/25 01:15:01  AM,-9.542,87.300,4.662,4.895,3.036,4.220
139,11/10/25 01:30:01  AM,-9.405,87.600,4.662,4.895,3.063,4.220
140,11/10/25 01:45:01  AM,-9.542,87.600,4.662,4.895,3.063,4.220
141,11/10/25 02:00:01  AM,-9.303,87.200,4.662,4.895,3.036,4.194
142,11/10/25 02:15:01  AM,-8.663,87.300,4.662,4.895,3.036,4.194
143,11/10/25 02:30:01  AM,-8.563,86.600,4.662,4.895,3.036,4.194
144,11/10/25 02:45:01  AM,-7.935,85.300,4.662,4.895,3.036,4.194
145,11/10/25 03:00:01  AM,-7.902,85.400,4.662,4.869,3.036,4.194
146,11/10/25 03:15:01  AM,-8.364,85.600,4.662,4.869,3.036,4.194
147,11/10/25 03:30:01  AM,-7.902,85.900,4.662,4.869,3.036,4.194
148,11/10/25 03:45:01  AM,-7.316,82.800,4.662,4.869,3.036,4.194
149,11/10/25 04:00:01  AM,-7.090,82.100,4.662,4.869,3.036,4.194
150,11/10/25 04:15:01  AM,-7.026,82.600,4.662,4.869,3.036,4.194
151,11/10/25 04:30:01  AM,-6.770,82.500,4.662,4.869,3.036,4.168
152,11/10/25 04:45:01  AM,-6.388,81.300,4.636,4.869,3.036,4.194
153,11/10/25 05:00:01  AM,-6.483,83.600,4.662,4.869,3.036,4.194
154,11/10/25 05:15:01  AM,-6.834,84.200,4.636,4.869,3.063,4.194
155,11/10/25 05:30:01  AM,-6.994,84.700,4.662,4.869,3.036,4.194
156,11/10/25 05:45:01  AM,-6.962,86.100,4.636,4.869,3.063,4.194
157,11/10/25 06:00:01  AM,-6.642,85.400,4.636,4.869,3.063,4.168
158,11/10/25 06:15:01  AM,-6.579,85.600,4.636,4.869,3.036,4.194
159,11/10/25 06:30:01  AM,-6.515,86.600,4.636,4.869,3.036,4.194
160,11/10/25 06:45:01  AM,-6.483,86.800,4.636,4.844,3.036,4.168
161,11/10/25 07:00:01  AM,-6.483,87.600,4.636,4.869,3.036,4.168
162,11/10/25 07:15:01  AM,-6.325,88.900,4.636,4.869,3.036,4.168
163,11/10/25 07:30:01  AM,-6.105,89.400,4.636,4.844,3.036,4.168
164,11/10/25 07:45:01  AM,-5.916,89.600,4.636,4.844,3.036,4.168
165,11/10/25 08:00:01  AM,-5.823,89.500,4.636,4.844,3.036,4.168
166,11/10/25 08:15:01  AM,-5.791,89.500,4.636,4.844,3.036,4.168
167,11/10/25 08:30:01  AM,-5.729,90.000,4.610,4.844,3.009,4.168
168,11/10/25 08:45:01  AM,-5.698,90.200,4.636,4.844,3.036,4.141
