"Plot Title: mid_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 22354027, SEN S/N: 20507283, LBL: tair)","RH, % (LGR S/N: 22354027, SEN S/N: 20507283, LBL: hr)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22194993, LBL: tprof1)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22194996, LBL: tprof2)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22285559, LBL: tprof3)","Temp, °C (LGR S/N: 22354027, SEN S/N: 22285560, LBL: tsurf)"
70,11/09/25 03:30:01  AM,-4.834,81.900,6.585,5.898,-0.817,5.282
71,11/09/25 03:45:01  AM,-4.865,82.500,6.585,5.898,-0.873,5.257
72,11/09/25 04:00:01  AM,-4.926,81.400,6.585,5.898,-0.845,5.231
73,11/09/25 04:15:01  AM,-4.926,80.800,6.560,5.898,-0.930,5.231
74,11/09/25 04:30:01  AM,-5.018,81.200,6.560,5.872,-0.902,5.231
75,11/09/25 04:45:01  AM,-5.202,80.500,6.560,5.872,-0.930,5.205
76,11/09/25 05:00:01  AM,-5.449,78.700,6.560,5.872,-1.100,5.179
77,11/09/25 05:15:01  AM,-5.636,78.500,6.535,5.872,-1.185,5.179
78,11/09/25 05:30:01  AM,-5.729,78.600,6.535,5.847,-1.213,5.179
79,11/09/25 05:45:01  AM,-5.760,81.000,6.535,5.847,-1.128,5.179
80,11/09/25 06:00:01  AM,-5.729,81.000,6.535,5.847,-1.100,5.179
81,11/09/25 06:15:01  AM,-5.823,80.300,6.509,5.847,-1.100,5.179
82,11/09/25 06:30:01  AM,-5.823,81.400,6.509,5.821,-1.100,5.179
83,11/09/25 06:45:01  AM,-5.885,81.200,6.509,5.821,-1.128,5.179
84,11/09/25 07:00:01  AM,-6.010,80.100,6.509,5.821,-1.213,5.179
85,11/09/25 07:15:01  AM,-5.948,79.500,6.509,5.821,-1.299,5.154
86,11/09/25 07:30:01  AM,-5.823,80.100,6.509,5.821,-1.157,5.154
87,11/09/25 07:45:01  AM,-5.667,80.500,6.484,5.796,-1.043,5.154
88,11/09/25 08:00:01  AM,-5.636,79.400,6.484,5.796,-0.986,5.024
89,11/09/25 08:15:01  AM,-5.542,79.600,6.484,5.796,-0.873,4.999
90,11/09/25 08:30:01  AM,-5.542,77.400,6.484,5.770,-0.873,5.050
91,11/09/25 08:45:01  AM,-5.326,78.600,6.484,5.770,-0.760,5.050
92,11/09/25 09:00:01  AM,-5.110,79.900,6.484,5.770,-0.704,5.050
93,11/09/25 09:15:01  AM,-5.079,78.100,6.484,5.770,-0.620,5.050
94,11/09/25 09:30:01  AM,-4.987,77.900,6.458,5.770,-0.563,5.050
95,11/09/25 09:45:01  AM,-5.110,77.600,6.458,5.770,-0.563,5.076
96,11/09/25 10:00:01  AM,-4.987,79.000,6.458,5.770,-0.535,5.076
97,11/09/25 10:15:01  AM,-4.682,79.400,6.458,5.770,-0.395,5.050
98,11/09/25 10:30:01  AM,-4.590,78.800,6.458,5.745,-0.283,5.050
99,11/09/25 10:45:01  AM,-4.408,78.600,6.458,5.745,-0.227,5.050
100,11/09/25 11:00:01  AM,-4.499,77.700,6.458,5.745,-0.227,5.050
101,11/09/25 11:15:01  AM,-4.318,76.000,6.458,5.745,-0.227,5.024
102,11/09/25 11:30:01  AM,-4.197,76.100,6.433,5.745,-0.199,5.024
103,11/09/25 11:45:01  AM,-4.167,75.900,6.433,5.745,-0.143,5.024
104,11/09/25 12:00:01  PM,-4.197,74.500,6.433,5.719,-0.283,5.024
105,11/09/25 12:15:01  PM,-3.777,74.000,6.433,5.719,-0.116,5.024
106,11/09/25 12:30:01  PM,-3.896,74.500,6.433,5.719,-0.116,5.024
107,11/09/25 12:45:01  PM,-4.469,74.500,6.408,5.719,-0.339,5.024
108,11/09/25 01:00:01  PM,-4.439,76.000,6.408,5.719,-0.451,5.024
109,11/09/25 01:15:01  PM,-4.530,74.500,6.408,5.693,-0.507,5.024
110,11/09/25 01:30:01  PM,-4.712,75.200,6.408,5.693,-0.704,4.999
111,11/09/25 01:45:01  PM,-4.439,76.300,6.408,5.693,-0.704,4.999
112,11/09/25 02:00:01  PM,-4.137,74.000,6.408,5.693,-0.479,4.999
113,11/09/25 02:15:01  PM,-4.530,73.200,6.408,5.693,-0.648,4.999
114,11/09/25 02:30:01  PM,-4.926,76.700,6.408,5.693,-0.845,4.973
115,11/09/25 02:45:01  PM,-5.388,80.100,6.408,5.693,-0.986,4.973
116,11/09/25 03:00:01  PM,-5.698,80.800,6.408,5.693,-1.043,4.973
117,11/09/25 03:15:01  PM,-5.760,81.900,6.408,5.693,-1.071,4.973
118,11/09/25 03:30:01  PM,-5.823,82.800,6.382,5.693,-1.071,4.973
119,11/09/25 03:45:01  PM,-6.136,83.000,6.382,5.668,-1.128,4.973
120,11/09/25 04:00:01  PM,-6.579,83.600,6.382,5.668,-1.327,4.973
121,11/09/25 04:15:01  PM,-6.674,83.800,6.382,5.668,-1.470,4.973
122,11/09/25 04:30:01  PM,-7.058,84.700,6.382,5.668,-1.527,4.973
123,11/09/25 04:45:01  PM,-7.058,84.800,6.382,5.668,-1.613,4.973
124,11/09/25 05:00:01  PM,-7.284,84.600,6.382,5.642,-1.641,4.947
125,11/09/25 05:15:01  PM,-7.608,85.400,6.382,5.642,-1.756,4.947
126,11/09/25 05:30:01  PM,-7.804,85.100,6.382,5.642,-1.785,4.947
127,11/09/25 05:45:01  PM,-7.869,85.900,6.357,5.642,-1.842,4.947
128,11/09/25 06:00:01  PM,-7.935,85.800,6.357,5.642,-1.871,4.947
129,11/09/25 06:15:01  PM,-8.132,85.600,6.357,5.642,-1.958,4.921
130,11/09/25 06:30:01  PM,-8.165,86.200,6.357,5.642,-2.044,4.921
131,11/09/25 06:45:01  PM,-8.198,85.900,6.357,5.642,-2.102,4.921
132,11/09/25 07:00:01  PM,-8.231,86.000,6.357,5.642,-2.073,4.921
133,11/09/25 07:15:01  PM,-8.364,86.200,6.357,5.616,-2.102,4.921
134,11/09/25 07:30:01  PM,-8.497,86.600,6.357,5.616,-2.131,4.921
135,11/09/25 07:45:01  PM,-8.630,86.300,6.357,5.616,-2.218,4.921
136,11/09/25 08:00:01  PM,-8.630,86.600,6.357,5.616,-2.247,4.921
137,11/09/25 08:15:01  PM,-8.730,86.300,6.357,5.616,-2.276,4.921
138,11/09/25 08:30:01  PM,-8.630,86.900,6.357,5.591,-2.276,4.921
139,11/09/25 08:45:01  PM,-8.630,87.300,6.331,5.591,-2.276,4.895
140,11/09/25 09:00:01  PM,-8.563,87.300,6.331,5.591,-2.276,4.895
141,11/09/25 09:15:01  PM,-8.331,86.900,6.331,5.591,-2.218,4.895
142,11/09/25 09:30:01  PM,-8.630,86.700,6.331,5.591,-2.218,4.895
143,11/09/25 09:45:01  PM,-8.497,87.300,6.331,5.591,-2.247,4.895
144,11/09/25 10:00:01  PM,-8.066,87.200,6.331,5.591,-2.247,4.869
145,11/09/25 10:15:01  PM,-7.935,86.700,6.331,5.591,-2.189,4.869
146,11/09/25 10:30:01  PM,-7.673,86.900,6.331,5.591,-2.073,4.869
147,11/09/25 10:45:01  PM,-7.348,86.200,6.331,5.591,-1.958,4.869
148,11/09/25 11:00:01  PM,-7.026,86.200,6.331,5.591,-1.842,4.869
149,11/09/25 11:15:01  PM,-6.770,85.600,6.331,5.591,-1.756,4.869
150,11/09/25 11:30:01  PM,-6.547,85.600,6.306,5.565,-1.699,4.869
151,11/09/25 11:45:01  PM,-5.760,83.100,6.331,5.565,-1.527,4.869
152,11/10/25 12:00:01  AM,-5.760,83.200,6.306,5.565,-1.441,4.869
153,11/10/25 12:15:01  AM,-6.168,83.600,6.306,5.565,-1.470,4.869
154,11/10/25 12:30:01  AM,-6.325,83.600,6.306,5.565,-1.613,4.869
155,11/10/25 12:45:01  AM,-6.168,84.000,6.306,5.565,-1.584,4.844
156,11/10/25 01:00:01  AM,-5.948,83.900,6.306,5.565,-1.470,4.844
157,11/10/25 01:15:01  AM,-5.574,82.100,6.306,5.565,-1.413,4.844
158,11/10/25 01:30:01  AM,-5.574,83.300,6.306,5.565,-1.384,4.844
159,11/10/25 01:45:01  AM,-5.511,83.800,6.306,5.539,-1.356,4.844
160,11/10/25 02:00:01  AM,-5.605,84.800,6.306,5.565,-1.299,4.844
161,11/10/25 02:15:01  AM,-5.418,85.800,6.306,5.539,-1.270,4.844
162,11/10/25 02:30:01  AM,-5.172,86.500,6.306,5.539,-1.185,4.844
163,11/10/25 02:45:01  AM,-4.957,86.400,6.306,5.539,-1.128,4.818
164,11/10/25 03:00:01  AM,-4.895,86.800,6.306,5.539,-1.071,4.844
165,11/10/25 03:15:01  AM,-4.895,87.000,6.306,5.539,-1.071,4.818
166,11/10/25 03:30:01  AM,-4.865,87.400,6.281,5.539,-1.071,4.818
167,11/10/25 03:45:01  AM,-4.651,87.300,6.306,5.539,-1.071,4.818
168,11/10/25 04:00:01  AM,-4.682,88.800,6.281,5.539,-1.100,4.818
169,11/10/25 04:15:01  AM,-4.590,90.100,6.281,5.539,-1.100,4.818
170,11/10/25 04:30:01  AM,-4.530,91.000,6.281,5.539,-1.100,4.818
171,11/10/25 04:45:01  AM,-4.257,91.300,6.281,5.539,-1.043,4.818
172,11/10/25 05:00:01  AM,-4.257,91.300,6.281,5.514,-0.958,4.818
173,11/10/25 05:15:01  AM,-4.046,91.200,6.281,5.514,-0.930,4.792
174,11/10/25 05:30:01  AM,-4.076,90.900,6.281,5.514,-0.902,4.792
175,11/10/25 05:45:01  AM,-4.257,91.300,6.281,5.514,-0.930,4.818
176,11/10/25 06:00:01  AM,-4.197,91.200,6.281,5.514,-0.902,4.766
177,11/10/25 06:15:01  AM,-4.257,91.300,6.281,5.514,-0.902,4.766
178,11/10/25 06:30:01  AM,-4.227,91.500,6.281,5.514,-0.873,4.766
179,11/10/25 06:45:01  AM,-4.167,91.700,6.281,5.514,-0.873,4.766
180,11/10/25 07:00:01  AM,-4.137,91.600,6.281,5.488,-0.873,4.766
181,11/10/25 07:15:01  AM,-4.046,91.900,6.281,5.488,-0.845,4.766
182,11/10/25 07:30:01  AM,-3.956,92.100,6.281,5.488,-0.817,4.766
183,11/10/25 07:45:01  AM,-3.866,92.100,6.255,5.488,-0.789,4.766
184,11/10/25 08:00:01  AM,-3.747,92.200,6.255,5.488,-0.732,4.766
185,11/10/25 08:15:01  AM,-3.479,92.000,6.255,5.488,-0.732,4.766
186,11/10/25 08:30:01  AM,-3.360,92.700,6.255,5.488,-0.704,4.766
187,11/10/25 08:45:01  AM,-3.006,93.100,6.255,5.488,-0.648,4.766
